"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo"
"601","57898901","-190.96","5/4/2022","6:52:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1009","57824517","876.01","5/4/2022","2:14:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"209","57849919","-25","5/4/2022","12:36:00 AM","RFREITAS","1","LCTO EM DUPLICIDADE"
"401","57622485","-15","5/4/2022","7:16:00 AM","RFREITAS","1","HOSPEDE NÃO CONSUMIU"
"","","-15","5/4/2022","12:34:10 AM","RFREITAS","1","LCTO EM DUPLICIDADE"
"","","-15","5/4/2022","12:35:42 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"601","57898901","-9.55","5/4/2022","6:52:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"411","57740968","-8","5/4/2022","4:08:12 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"903","57806993","-8","5/4/2022","6:58:35 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"903","57806993","-7.1","5/4/2022","7:02:58 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"103","57613508","-6","5/4/2022","8:13:47 AM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"411","57740968","-6","5/4/2022","4:08:12 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"1101","57865094","-3","5/4/2022","12:22:24 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"1101","57865094","-3","5/4/2022","2:09:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"209","57849919","-1.25","5/4/2022","12:36:00 AM","RFREITAS","1","LCTO EM DUPLICIDADE"
"","","-0.75","5/4/2022","12:34:10 AM","RFREITAS","1","LCTO EM DUPLICIDADE"
"","","-0.75","5/4/2022","12:35:42 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"1101","57865094","3","5/4/2022","2:09:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"1203","57810168","10","5/4/2022","3:15:08 PM","LPADOVINO","1","ERRO DE LANÇAMENTO"
"401","57622485","14","5/4/2022","1:59:14 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"502","57640858","41","5/4/2022","2:21:11 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"103","57613508","58.5","5/4/2022","6:26:27 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"102","57399212","455.7","5/4/2022","4:15:12 PM","CFIOR","1","Erro de Laçto"
"","57666032","548.86","5/4/2022","5:59:26 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"903","57806993","-142","5/4/2022","7:02:58 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"108","57921261","-297","5/5/2022","7:29:00 PM","ECSOUSA","1","ERRO DO SISTEMA"
"1101","57865094","562.25","5/5/2022","2:44:31 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"105","57623562","-160.36","5/5/2022","4:49:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1104","57603340","-25","5/5/2022","12:41:00 AM","RFREITAS","1","LCTO EM DUPLICIDADE"
"511","57885109","-16","5/5/2022","8:56:37 AM","RFELIZ","2","HOSPEDE NÃO CONSUMIU"
"310","54971160","-16","5/5/2022","3:53:15 PM","CALOLIVEIRA","2","AUTORIZADO PELO GERENT"
"108","57921261","-14.85","5/5/2022","7:29:00 PM","ECSOUSA","1","ERRO DO SISTEMA"
"209","57849919","-10.85","5/5/2022","5:58:01 AM","RFREITAS","1","ERRO DO SISTEMA"
"511","57885109","-10","5/5/2022","8:56:38 AM","RFELIZ","2","HOSPEDE NÃO CONSUMIU"
"105","57623562","-8.02","5/5/2022","4:49:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"408","57171890","-8","5/5/2022","7:20:33 AM","RFREITAS","1","HOSPEDE NÃO CONSUMIU"
"511","57885109","-8","5/5/2022","8:56:37 AM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"511","57885109","-8","5/5/2022","8:56:37 AM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"308","57663955","-6","5/5/2022","9:13:26 AM","RFELIZ","1","ERRO DE LANÇAMENTO"
"310","54971160","-6","5/5/2022","3:53:15 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"511","57885109","-5","5/5/2022","8:56:38 AM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"1104","57603340","-1.25","5/5/2022","12:41:00 AM","RFREITAS","1","LCTO EM DUPLICIDADE"
"1009","57436525","21","5/5/2022","2:42:02 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"102","57399212","35","5/5/2022","2:49:00 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"410","57754276","52.5","5/5/2022","10:47:17 AM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"108","57921261","274.42","5/5/2022","2:08:00 AM","RFREITAS","1","ERRO DE LANÇAMENTO"
"1101","57865094","462.25","5/5/2022","2:45:26 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"911","57702322","524","5/5/2022","12:11:49 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"209","57849919","-217","5/5/2022","5:58:01 AM","RFREITAS","1","ERRO DO SISTEMA"
"706","57883327","-269.75","5/6/2022","11:04:00 PM","ECSOUSA","1","ERRO DO SISTEMA"
"308","57663955","1051.37","5/6/2022","6:46:15 AM","RFREITAS","1","LCTO EM DUPLICIDADE"
"911","57921377","-25","5/6/2022","9:40:44 AM","RFELIZ","1","LCTO EM DUPLICIDADE"
"710","57794014","-25","5/6/2022","11:44:00 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"1006","57632847","-25","5/6/2022","1:54:00 AM","RFREITAS","1","LCTO EM DUPLICIDADE"
"304","57408602","-20","5/6/2022","7:44:00 AM","ECSOUSA","2","ERRO DE LANÇAMENTO"
"801","57720460","-16","5/6/2022","8:18:36 AM","RFELIZ","2","HOSPEDE NÃO CONSUMIU"
"706","57883327","-13.49","5/6/2022","11:04:00 PM","ECSOUSA","1","ERRO DO SISTEMA"
"910","57637318","-12","5/6/2022","8:26:00 AM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"707","57896992","-11.14","5/6/2022","10:46:14 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"801","57720460","-8","5/6/2022","8:18:14 AM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"801","57720460","-8","5/6/2022","8:18:36 AM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"801","57720460","-6","5/6/2022","8:16:00 AM","RFELIZ","1","HOSPEDE NÃO CONSUMIU"
"403","57407851","-6","5/6/2022","8:22:09 AM","ECSOUSA","1","ERRO DE LANÇAMENTO"
