"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo",""
"1005","58280243","-10","6/4/2022","10:37:00 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1005","58280243","-160","6/4/2022","10:37:00 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1005","58280243","-10","6/4/2022","10:37:00 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1005","58280243","-10","6/4/2022","10:37:00 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1005","58280243","-10","6/4/2022","10:37:00 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1005","58280243","-10","6/4/2022","10:37:00 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1005","58280243","131.25","6/4/2022","10:47:08 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1101","57351880","-11.83","6/4/2022","11:02:07 AM","CFIOR","1","ERRO DE LANÇAMENTO",""
"1101","57351880","-236.68","6/4/2022","11:02:07 AM","CFIOR","1","ERRO DE LANÇAMENTO",""
"1207","58340491","-42","6/4/2022","5:43:12 AM","RFREITAS","1","ERRO DO SISTEMA",""
"1207","58340491","-2.1","6/4/2022","5:43:12 AM","RFREITAS","1","ERRO DO SISTEMA",""
"401","58182861","1304.1","6/4/2022","12:45:12 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"401","58182861","-260.82","6/4/2022","12:45:12 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"406","58332049","-10.75","6/4/2022","2:47:47 AM","RFREITAS","1","ERRO DO SISTEMA",""
"406","58332049","-215","6/4/2022","2:47:47 AM","RFREITAS","1","ERRO DO SISTEMA",""
"605","58160639","226.8","6/4/2022","5:04:44 PM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"605","58160639","-226.8","6/4/2022","5:04:44 PM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"608","58332766","-10.75","6/4/2022","2:47:11 AM","RFREITAS","1","ERRO DO SISTEMA",""
"608","58332766","-215","6/4/2022","2:47:10 AM","RFREITAS","1","ERRO DO SISTEMA",""
"1006","58436332","-4","6/5/2022","11:58:33 AM","ECSOUSA","1","ERRO DE LANÇAMENTO",""
