UH;Reserva;Descrição;Crédito;Débito;Valor;Documento;Data;Hora;Usuário;Qtde.;Motivo;
411;57704597;TROC TROCO;-14,25;0,00;-14,25;;16/05/2022;18:26:12;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
601;54680107;FRIGOBAR;-12;0,00;-12,00;Venda: 75924965;16/05/2022;8:43:41;RFELIZ;3;HOSPEDE NÃO CONSUMIU;
1210;57488215;FRIGOBAR;-12;0,00;-12,00;Venda: 75916265;16/05/2022;22:18:00;RFELIZ;3;HOSPEDE NÃO CONSUMIU;
709;54680093;FRIGOBAR;-10;0,00;-10,00;Venda: 75924963;16/05/2022;8:44:00;RFELIZ;1;HOSPEDE NÃO CONSUMIU;
603;57519358;FRIGOBAR;-8;0,00;-8,00;Venda: 75921906;16/05/2022;16:09:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
603;57519358;FRIGOBAR;-6;0,00;-6,00;Venda: 75921905;16/05/2022;16:09:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1210;57488215;FRIGOBAR;-6;0,00;-6,00;Venda: 75924959;16/05/2022;22:20:00;RFELIZ;1;HOSPEDE NÃO CONSUMIU;
1202;57599025;TROCO;-3,12;0,00;-3,12;;16/05/2022;18:56:52;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
201;57712123;ISS;-2,35;0,00;-2,35;;16/05/2022;6:59:58;RFREITAS;1;ERRO DE LANÇAMENTO;
201;57712123;ISS;-2,35;0,00;-2,35;;16/05/2022;6:59:58;RFREITAS;1;ERRO DE LANÇAMENTO;
201;57712123;ISS;-2,35;0,00;-2,35;;16/05/2022;6:59:58;RFREITAS;1;ERRO DE LANÇAMENTO;
201;57712123;ISS;-2,35;0,00;-2,35;;16/05/2022;6:59:58;RFREITAS;1;ERRO DE LANÇAMENTO;
409;57286515;DIARIA;-0,01;0,00;-0,01;UH: 409 Reserva: 572;16/05/2022;7:31:38;RFELIZ;1;ERRO DO SISTEMA;
409;56024673;DIARIA NET;-0,01;0,00;-0,01;CORREÇÃO NO VAL;16/05/2022;23:22:25;RFREITAS;1;ERRO DE LANÇAMENTO;
409;57286515;ISS;0;0,00;0,00;;16/05/2022;7:31:38;RFELIZ;1;ERRO DO SISTEMA;
202;57750653;STONE - MASTERCARD C;0;25,00;25,00;QUE-3039 KA;16/05/2022;20:53:00;RFELIZ;1;ERRO DE LANÇAMENTO;
504;57458456;STONE - VISA DEBITO;0;121,00;121,00;200949;16/05/2022;17:06:00;LPADOVINO;1;ERRO DE LANÇAMENTO;
401;57519404;STONE - MASTERCARD C;0;287,25;287,25;095729;16/05/2022;17:53:04;LPADOVINO;1;ERRO DE LANÇAMENTO;
608;57869820;STONE - MASTERCARD C;0;477,40;477,40;510624;16/05/2022;13:19:37;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
409;56024673;A FATURAR;0;507,94;507,94;;16/05/2022;23:22:17;RFREITAS;1;Erro de Laçto;
1007;57451974;DIARIA NET;-206,18;0,00;-206,18;UH: 1007 Reserva: 57;16/05/2022;18:37:30;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
209;57849919;DIARIA;-224;0,00;-224,00;REF 04-05;17/05/2022;11:00:30;LPADOVINO;1;ERRO DE LANÇAMENTO;
910;57637318;A FATURAR;0;609,00;609,00;;17/05/2022;11:59:59;LPADOVINO;1;Erro de Laçto;
1001;57957088;DIFERENÇA DE DIARIA;-120,76;0,00;-120,76;UH: 1001 Reserva: 57;17/05/2022;11:46:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1001;57957088;DIFERENÇA DE DIARIA;-120,76;0,00;-120,76;UH: 1001 Reserva: 57;17/05/2022;11:46:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1001;57957088;DIFERENÇA DE DIARIA;-120,76;0,00;-120,76;UH: 1001 Reserva: 57;17/05/2022;11:46:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1001;57957088;DIFERENÇA DE DIARIA;-120,76;0,00;-120,76;UH: 1001 Reserva: 57;17/05/2022;11:46:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1111;58091025;DIVERSOS;-26,25;0,00;-26,25;REF A ESTACIONAM;17/05/2022;16:34:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1001;57957088;ESTACIONAMENTO;-25;0,00;-25,00;mke-6756;17/05/2022;11:37:53;IGPESSOA;1;HOSPEDE NÃO CONSUMIU;
910;57637318;ESTACIONAMENTO;-25;0,00;-25,00;gbl-9603;17/05/2022;12:02:34;LPADOVINO;1;ERRO DE LANÇAMENTO;
910;57637318;ESTACIONAMENTO;-25;0,00;-25,00;gbl 9603asx;17/05/2022;12:02:34;LPADOVINO;1;ERRO DE LANÇAMENTO;
910;57637318;ESTACIONAMENTO;-25;0,00;-25,00;GBL9603;17/05/2022;12:02:34;LPADOVINO;1;ERRO DE LANÇAMENTO;
910;57637318;ESTACIONAMENTO;-25;0,00;-25,00;gbl - 9603;17/05/2022;12:02:34;LPADOVINO;1;ERRO DE LANÇAMENTO;
1111;58118918;ESTACIONAMENTO;-25;0,00;-25,00;rtx 164 kicks;17/05/2022;0:52:00;RFREITAS;1;LCTO EM DUPLICIDADE;
209;57849919;ISS;-11,2;0,00;-11,20;;17/05/2022;11:00:30;LPADOVINO;1;ERRO DE LANÇAMENTO;
608;57801800;ISS;-11,15;0,00;-11,15;;17/05/2022;11:24:48;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1001;57957088;ISS;-6,04;0,00;-6,04;;17/05/2022;11:46:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1001;57957088;ISS;-6,04;0,00;-6,04;;17/05/2022;11:46:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1001;57957088;ISS;-6,04;0,00;-6,04;;17/05/2022;11:46:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1001;57957088;ISS;-6,04;0,00;-6,04;;17/05/2022;11:46:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1001;57957088;ISS;-1,25;0,00;-1,25;;17/05/2022;11:37:53;IGPESSOA;1;HOSPEDE NÃO CONSUMIU;
910;57637318;ISS;-1,25;0,00;-1,25;;17/05/2022;12:02:34;LPADOVINO;1;ERRO DE LANÇAMENTO;
910;57637318;ISS;-1,25;0,00;-1,25;;17/05/2022;12:02:34;LPADOVINO;1;ERRO DE LANÇAMENTO;
910;57637318;ISS;-1,25;0,00;-1,25;;17/05/2022;12:02:34;LPADOVINO;1;ERRO DE LANÇAMENTO;
910;57637318;ISS;-1,25;0,00;-1,25;;17/05/2022;12:02:34;LPADOVINO;1;ERRO DE LANÇAMENTO;
1111;58118918;ISS;-1,25;0,00;-1,25;;17/05/2022;0:52:00;RFREITAS;1;LCTO EM DUPLICIDADE;
1109;58001816;STONE - MASTERCARD C;0;26,52;26,52;;17/05/2022;10:01:22;IGPESSOA;1;ERRO DE LANÇAMENTO;
708;57482616;STONE - VISA CREDITO;0;28,00;28,00;074556;17/05/2022;14:59:42;LPADOVINO;1;ERRO DE LANÇAMENTO;
904;57987718;STONE - AMERICAN EXP;0;38,25;38,25;3825;17/05/2022;8:22:32;IGPESSOA;1;ERRO DE LANÇAMENTO;
209;57849919;A FATURAR;0;235,20;235,20;;17/05/2022;11:00:05;LPADOVINO;1;Erro de Laçto;
;57904707;STONE - MASTERCARD C;0;339,36;339,36;185177;17/05/2022;15:04:57;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
809;58134166;STONE - VISA CREDITO;0;449,83;449,83;158911;17/05/2022;1:09:00;RFREITAS;1;LCTO EM DUPLICIDADE;
608;57801800;NO SHOW;-223;0,00;-223,00;;17/05/2022;11:24:48;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1001;57957088;FRIGOBAR;-18;0,00;-18,00;Venda: 75926959;18/05/2022;14:56:37;LPADOVINO;3;HOSPEDE NÃO CONSUMIU;
1001;57957088;FRIGOBAR;-16;0,00;-16,00;Venda: 75923232;18/05/2022;14:56:37;LPADOVINO;2;HOSPEDE NÃO CONSUMIU;
1001;57957088;FRIGOBAR;-12;0,00;-12,00;Venda: 75923231;18/05/2022;14:56:37;LPADOVINO;2;HOSPEDE NÃO CONSUMIU;
1001;57957088;FRIGOBAR;-8;0,00;-8,00;Venda: 75926961;18/05/2022;14:56:37;LPADOVINO;1;HOSPEDE NÃO CONSUMIU;
1001;57957088;FRIGOBAR;-4;0,00;-4,00;Venda: 75926960;18/05/2022;14:56:37;LPADOVINO;1;HOSPEDE NÃO CONSUMIU;
510;57519463;STONE - MASTERCARD C;0;1.134,00;1.134,00;906800;18/05/2022;1:27:00;RFELIZ;1;ERRO DE LANÇAMENTO;
208;58165355;ISS;0;0,00;0,00;;18/05/2022;0:48:00;RFELIZ;1;CORTESIA DE DIÁRIAS;
306;58155988;STONE - VISA DEBITO;0;300,68;300,68;60136;18/05/2022;1:34:00;RFELIZ;1;ERRO DE LANÇAMENTO;
408;58156100;STONE - VISA DEBITO;0;300,68;300,68;60136;18/05/2022;1:35:00;RFELIZ;1;ERRO DE LANÇAMENTO;
1001;57957088;STONE - VISA CREDITO;0;362,28;362,28;498525;18/05/2022;14:56:07;LPADOVINO;1;ERRO DE LANÇAMENTO;
210;57519455;STONE - MASTERCARD C;0;1.134,00;1.134,00;R78595;18/05/2022;1:26:00;RFELIZ;1;ERRO DE LANÇAMENTO;
208;58165355;DIARIA;-0,01;0,00;-0,01;UH: 208 Reserva: 581;18/05/2022;0:48:00;RFELIZ;1;CORTESIA DE DIÁRIAS;
306;58155988;DIARIA;-261,36;0,00;-261,36;UH: 306 Reserva: 581;19/05/2022;7:49:00;CFIOR;1;HOSPEDE NÃO CONSUMIU;
;57951292;STONE - VISA CREDITO 2;0;801,99;801,99;050685;19/05/2022;17:27:59;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1208;57746192;FRIGOBAR;-30;0,00;-30,00;Venda: 75923205;19/05/2022;14:43:30;IGPESSOA;5;ERRO DE LANÇAMENTO;
211;58110747;ESTACIONAMENTO;-25;0,00;-25,00;;19/05/2022;8:03:33;IGPESSOA;1;ERRO DE LANÇAMENTO;
1105;57861005;ESTACIONAMENTO;-25;0,00;-25,00;DCU7B08;19/05/2022;14:49:01;IGPESSOA;1;ERRO DE LANÇAMENTO;
611;58056874;ESTACIONAMENTO;-25;0,00;-25,00;MJT - 981;19/05/2022;0:19:00;RFREITAS;1;HOSPEDE NÃO CONSUMIU;
1105;57899487;ESTACIONAMENTO;-25;0,00;-25,00;ATD - 0715;19/05/2022;1:10:00;RFREITAS;1;LCTO EM DUPLICIDADE;
101;58132996;ESTACIONAMENTO;-25;0,00;-25,00;RDU 551 VOLVO,,;19/05/2022;1:11:00;RFREITAS;1;LCTO EM DUPLICIDADE;
1208;57746192;FRIGOBAR;-20;0,00;-20,00;Venda: 75923207;19/05/2022;14:43:30;IGPESSOA;2;ERRO DE LANÇAMENTO;
306;58155988;ISS;-13,07;0,00;-13,07;;19/05/2022;7:49:00;CFIOR;1;HOSPEDE NÃO CONSUMIU;
1208;57746192;FRIGOBAR;-12;0,00;-12,00;Venda: 75923203;19/05/2022;14:43:30;IGPESSOA;3;ERRO DE LANÇAMENTO;
205;56111738;ISS;-11,92;0,00;-11,92;;19/05/2022;14:23:00;IGPESSOA;1;HOSPEDE NÃO CONSUMIU;
605;57915628;FRIGOBAR;-10;0,00;-10,00;Venda: 75928750;19/05/2022;6:18:00;RFELIZ;1;HOSPEDE NÃO CONSUMIU;
1109;57967202;FRIGOBAR;-8;0,00;-8,00;Venda: 75930459;19/05/2022;13:52:51;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1208;57746192;FRIGOBAR;-8;0,00;-8,00;Venda: 75923206;19/05/2022;14:43:30;IGPESSOA;1;ERRO DE LANÇAMENTO;
1208;57746192;FRIGOBAR;-6;0,00;-6,00;Venda: 75923204;19/05/2022;14:43:30;IGPESSOA;1;ERRO DE LANÇAMENTO;
211;58110747;ISS;-1,25;0,00;-1,25;;19/05/2022;8:03:33;IGPESSOA;1;ERRO DE LANÇAMENTO;
1105;57861005;ISS;-1,25;0,00;-1,25;;19/05/2022;14:49:01;IGPESSOA;1;ERRO DE LANÇAMENTO;
611;58056874;ISS;-1,25;0,00;-1,25;;19/05/2022;0:19:00;RFREITAS;1;HOSPEDE NÃO CONSUMIU;
1105;57899487;ISS;-1,25;0,00;-1,25;;19/05/2022;1:10:00;RFREITAS;1;LCTO EM DUPLICIDADE;
101;58132996;ISS;-1,25;0,00;-1,25;;19/05/2022;1:11:00;RFREITAS;1;LCTO EM DUPLICIDADE;
108;57740232;STONE - VISA CREDITO;0;4,00;4,00;415847;19/05/2022;2:57:23;RFREITAS;1;ERRO DE LANÇAMENTO;
609;58054197;STONE - MASTERCARD D;0;60,00;60,00;125975;19/05/2022;3:00:44;RFREITAS;1;ERRO DE LANÇAMENTO;
901;58040536;A FATURAR;0;261,45;261,45;;19/05/2022;8:21:51;IGPESSOA;1;Erro de Laçto;
211;58169288;STONE - MASTERCARD C;0;437,97;437,97;774474;19/05/2022;2:28:00;RFREITAS;1;ERRO DE LANÇAMENTO;
611;57943052;A FATURAR;0;448,35;448,35;;19/05/2022;7:50:50;IGPESSOA;1;Erro de Laçto;
609;56660022;STONE - MASTERCARD C;0;451,66;451,66;675580;19/05/2022;17:58:02;ECSOUSA;1;ERRO DE LANÇAMENTO;
202;57750653;A FATURAR;0;541,80;541,80;;19/05/2022;13:10:23;CALOLIVEIRA;1;Erro de Laçto;
205;56111738;DIARIA;-238,48;0,00;-238,48;REF 17/01;19/05/2022;14:23:00;IGPESSOA;1;HOSPEDE NÃO CONSUMIU;
207;58167889;DAY USE;-415,24;0,00;-415,24;UH: 207 Reserva: 581;20/05/2022;9:22:43;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
611;58143963;STONE - VISA DEBITO;0;504,64;504,64;434953;20/05/2022;22:59:00;ECSOUSA;1;AUTORIZADO PELO GERENT;
608;58143971;DIARIA NET;-280,35;0,00;-280,35;REF A DIARIA 20.05.;20/05/2022;23:03:00;ECSOUSA;1;AUTORIZADO PELO GERENT;
208;58173889;DIARIA;-240,57;0,00;-240,57;UH: 608 Reserva: 581;20/05/2022;18:45:29;CALOLIVEIRA;1;ERRO DO SISTEMA;
1206;58110496;DIFERENÇA DE DIARIA;-123,5;0,00;-123,50;UH: 1206 Reserva: 58;20/05/2022;6:52:00;RFREITAS;1;ERRO DO SISTEMA;
207;58167889;ISS;-20,76;0,00;-20,76;;20/05/2022;9:22:43;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
202;58167900;ISS;-19,76;0,00;-19,76;;20/05/2022;9:17:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
305;57913404;FRIGOBAR;-15;0,00;-15,00;Venda: 75930478;20/05/2022;7:45:02;CFIOR;1;HOSPEDE NÃO CONSUMIU;
208;58173889;ISS;-12,03;0,00;-12,03;;20/05/2022;18:45:29;CALOLIVEIRA;1;ERRO DO SISTEMA;
310;58044442;FRIGOBAR;-12;0,00;-12,00;Venda: 75927402;20/05/2022;8:27:07;IGPESSOA;1;HOSPEDE NÃO CONSUMIU;
1206;58110496;ISS;-6,18;0,00;-6,18;;20/05/2022;6:52:00;RFREITAS;1;ERRO DO SISTEMA;
201;57869553;ESTACIONAMENTO;-5;0,00;-5,00;RHI-175 TORO;20/05/2022;4:54:24;RFREITAS;1;ERRO DE LANÇAMENTO;
201;57869553;ESTACIONAMENTO;-5;0,00;-5,00;rhi 175 toro;20/05/2022;4:54:24;RFREITAS;1;ERRO DE LANÇAMENTO;
201;57869553;ESTACIONAMENTO;-5;0,00;-5,00;rhi175;20/05/2022;4:54:24;RFREITAS;1;ERRO DE LANÇAMENTO;
201;57869553;ISS;-0,25;0,00;-0,25;;20/05/2022;4:54:24;RFREITAS;1;ERRO DE LANÇAMENTO;
201;57869553;ISS;-0,25;0,00;-0,25;;20/05/2022;4:54:24;RFREITAS;1;ERRO DE LANÇAMENTO;
201;57869553;ISS;-0,25;0,00;-0,25;;20/05/2022;4:54:24;RFREITAS;1;ERRO DE LANÇAMENTO;
803;57898812;DINHEIRO;0;0,01;0,01;;20/05/2022;7:37:57;IGPESSOA;1;ERRO DE LANÇAMENTO;
901;58040536;STONE - VISA CREDITO;0;26,25;26,25;685558;20/05/2022;14:03:06;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
101;57836779;STONE - VISA CREDITO 2;0;52,50;52,50;072871;20/05/2022;20:48:00;CFIOR;1;ERRO DE LANÇAMENTO;
611;58143963;STONE - VISA DEBITO;0;56,06;56,06;434953;20/05/2022;22:59:00;ECSOUSA;1;AUTORIZADO PELO GERENT;
1207;58142053;STONE - VISA CREDITO;0;126,00;126,00;163090;20/05/2022;13:51:34;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
1202;58131035;STONE - MASTERCARD C;0;241,16;241,16;ro1319;20/05/2022;3:02:00;RFREITAS;1;ERRO DE LANÇAMENTO;
901;58046070;DINHEIRO;0;365,65;365,65;;20/05/2022;8:52:02;CFIOR;1;ERRO DE LANÇAMENTO;
1109;58068341;STONE - MASTERCARD C;0;410,00;410,00;251076;20/05/2022;13:43:00;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
211;58169288;STONE - MASTERCARD C;0;437,98;437,98;161207;20/05/2022;10:14:00;CFIOR;1;ERRO DE LANÇAMENTO;
1203;58153098;STONE - MASTERCARD C;0;466,20;466,20;643433;20/05/2022;3:03:00;RFREITAS;1;ERRO DE LANÇAMENTO;
611;58143963;STONE - VISA DEBITO;0;504,64;504,64;434953;20/05/2022;22:59:00;ECSOUSA;1;AUTORIZADO PELO GERENT;
202;58167900;DAY USE;-395,24;0,00;-395,24;UH: 202 Reserva: 581;20/05/2022;9:17:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1211;58066071;DIARIA;-30;0,00;-30,00;UH: 1211 Reserva: 58;21/05/2022;23:51:40;RFREITAS;1;ERRO DE LANÇAMENTO;
507;57806071;A FATURAR;0;939,75;939,75;;21/05/2022;7:06:06;RFREITAS;1;Erro de Laçto;
1109;57458197;ESTACIONAMENTO;-25;0,00;-25,00;QCP 4552;21/05/2022;0:14:00;RFREITAS;1;ERRO DE LANÇAMENTO;
1109;57458197;ESTACIONAMENTO;-25;0,00;-25,00;QPC4582;21/05/2022;0:14:00;RFREITAS;1;ERRO DE LANÇAMENTO;
1202;58131035;ESTACIONAMENTO;-12,5;0,00;-12,50;PICASSO ATD 0042;21/05/2022;10:59:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1202;58131035;ESTACIONAMENTO;-12,5;0,00;-12,50;ONIX FVW 302;21/05/2022;10:59:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1211;58066071;ISS;-1,5;0,00;-1,50;;21/05/2022;23:51:40;RFREITAS;1;ERRO DE LANÇAMENTO;
1211;58066071;ISS;-1,5;0,00;-1,50;;21/05/2022;23:51:40;RFREITAS;1;ERRO DE LANÇAMENTO;
1109;57458197;ISS;-1,25;0,00;-1,25;;21/05/2022;0:14:00;RFREITAS;1;ERRO DE LANÇAMENTO;
1109;57458197;ISS;-1,25;0,00;-1,25;;21/05/2022;0:14:00;RFREITAS;1;ERRO DE LANÇAMENTO;
1202;58131035;ISS;-0,63;0,00;-0,63;;21/05/2022;10:59:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1202;58131035;ISS;-0,63;0,00;-0,63;;21/05/2022;10:59:27;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1211;58066071;A FATURAR;0;594,30;594,30;;21/05/2022;11:03:06;IGPESSOA;1;Erro de Laçto;
1211;58066071;A FATURAR;0;594,30;594,30;;21/05/2022;23:51:09;RFREITAS;1;Erro de Laçto;
1211;58066071;DIARIA;-30;0,00;-30,00;UH: 1211 Reserva: 58;21/05/2022;23:51:40;RFREITAS;1;ERRO DE LANÇAMENTO;
404;58042563;DIARIA;-79,8;0,00;-79,80;SAIDA AS 18HRS;22/05/2022;12:55:00;RFELIZ;1;ERRO DE LANÇAMENTO;
503;58181687;DIARIA;-10,5;0,00;-10,50;REF DIARIA DIA 23.0;22/05/2022;0:39:04;RFREITAS;1;ERRO DE LANÇAMENTO;
1102;56544359;FRIGOBAR;-8;0,00;-8,00;Venda: 75932141;22/05/2022;9:35:00;CFIOR;1;HOSPEDE NÃO CONSUMIU;
1001;57857008;FRIGOBAR;-8;0,00;-8,00;Venda: 75933319;22/05/2022;9:58:34;RFELIZ;1;HOSPEDE NÃO CONSUMIU;
101;57836779;RT729 RESTAURANTE;-6;0,00;-6,00;NFCe:001397 Série 2;22/05/2022;7:07:00;RFREITAS;1;ERRO NA IMPRESSÃO;
503;58181687;A FATURAR;0;524,46;524,46;;22/05/2022;0:38:28;RFREITAS;1;Erro de Laçto;
108;58085858;FRIGOBAR;-6;0,00;-6,00;Venda: 75933305;22/05/2022;10:52:23;RFELIZ;1;HOSPEDE NÃO CONSUMIU;
404;58042563;ISS;-3,99;0,00;-3,99;;22/05/2022;12:55:00;RFELIZ;1;ERRO DE LANÇAMENTO;
503;58181687;ISS;-0,53;0,00;-0,53;;22/05/2022;0:39:04;RFREITAS;1;ERRO DE LANÇAMENTO;
107;58182225;STONE - MASTERCARD C;0;107,00;107,00;094953;22/05/2022;10:10:25;RFELIZ;1;ERRO DE LANÇAMENTO;
108;58085858;FRIGOBAR;-6;0,00;-6,00;Venda: 75933306;22/05/2022;10:52:07;RFELIZ;1;HOSPEDE NÃO CONSUMIU;
705;57502994;DIARIA;-28;0,00;-28,00;UH: 904 Reserva: 575;23/05/2022;15:14:19;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
705;57502994;ISS;-1,4;0,00;-1,40;;23/05/2022;15:14:19;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
101;57836779;STONE - VISA CREDITO;0;26,00;26,00;251544;23/05/2022;23:03:00;CFIOR;1;ERRO DE LANÇAMENTO;
707;58018204;STONE - MASTERCARD C;0;508,12;508,12;235352;23/05/2022;9:16:22;IGPESSOA;1;AUTORIZADO PELO GERENT;
1211;58066071;STONE - MASTERCARD D;0;175,50;175,50;528223;23/05/2022;14:56:00;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
705;58206655;STONE - VISA CREDITO 2;0;246,65;246,65;955888;23/05/2022;15:01:38;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
501;58218319;STONE - VISA DEBITO;0;330,75;330,75;384532;23/05/2022;15:40:23;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
404;58042563;STONE - VISA DEBITO;0;130,00;130,00;762591;23/05/2022;15:36:48;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
906;58176535;DIARIA;-210;0,00;-210,00;UH: 907 Reserva: 581;24/05/2022;7:04:00;RFREITAS;1;ERRO DE LANÇAMENTO;
809;57990816;DIFERENÇA DE DIARIA;-140;0,00;-140,00;CAFÉ A MAIS;24/05/2022;18:43:00;RFELIZ;1;ERRO DE LANÇAMENTO;
809;57990816;DIARIA NET;-140;0,00;-140,00;CAFÉ EXTRA;24/05/2022;18:50:10;RFELIZ;1;ERRO DE LANÇAMENTO;
906;58176535;ISS;-10,5;0,00;-10,50;;24/05/2022;7:04:00;RFREITAS;1;ERRO DE LANÇAMENTO;
1102;58024271;FRIGOBAR;-8;0,00;-8,00;Venda: 75935203;24/05/2022;9:42:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1102;58024271;FRIGOBAR;-8;0,00;-8,00;Venda: 75935204;24/05/2022;9:42:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
205;57376905;STONE - MASTERCARD D;0;471,00;471,00;592150;24/05/2022;11:59:00;IGPESSOA;1;ERRO DE LANÇAMENTO;
101;57836779;STONE - VISA CREDITO;0;26,00;26,00;261644;24/05/2022;13:57:40;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
1201;57815666;STONE - VISA DEBITO;0;53,00;53,00;145957;24/05/2022;13:06:30;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
301;58113878;STONE - VISA DEBITO;0;65,00;65,00;201847;24/05/2022;13:11:58;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
1211;58066071;STONE - MASTERCARD C;0;175,50;175,50;628223;24/05/2022;13:45:00;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
108;58176357;STONE - VISA DEBITO;0;283,50;283,50;779509;24/05/2022;1:34:00;RFREITAS;1;LCTO EM DUPLICIDADE;
1005;58024328;A FATURAR;0;375,90;375,90;;24/05/2022;0:24:43;RFREITAS;1;Erro de Laçto;
809;57990816;ISS;-7;0,00;-7,00;;24/05/2022;18:43:00;RFELIZ;1;ERRO DE LANÇAMENTO;
911;58176608;ESTACIONAMENTO;-5;0,00;-5,00;RXK-299 RANGER;25/05/2022;12:49:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
911;58176608;ISS;-0,25;0,00;-0,25;;25/05/2022;12:49:00;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
202;57848009;STONE - MASTERCARD D;0;10,00;10,00;084551;25/05/2022;11:49:00;IGPESSOA;1;ERRO DE LANÇAMENTO;
202;57848009;STONE - MASTERCARD C;0;10,00;10,00;084551;25/05/2022;1:18:45;RFELIZ;1;ERRO DE LANÇAMENTO;
105;57785694;STONE - VISA CREDITO;0;512,10;512,10;648936;25/05/2022;1:21:49;RFELIZ;1;ERRO DE LANÇAMENTO;
703;58176411;STONE - VISA DEBITO;0;140,70;140,70;383735;25/05/2022;1:24:00;RFELIZ;1;ERRO DE LANÇAMENTO;
;58267379;STONE - MASTERCARD C;0;181,35;181,35;010118;25/05/2022;14:55:30;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
1208;58176438;VLEC  STONE - ELO CREDITO;0;220,50;220,50;429258;25/05/2022;13:35:00;ANLGONCALVES;1;ERRO DE LANÇAMENTO;
511;58063048;STONE - MASTERCARD C;0;495,56;495,56;088523;25/05/2022;14:48:45;CALOLIVEIRA;1;AUTORIZADO PELO GERENT;
601;58034277;STONE - VISA CREDITO;0;94,50;94,50;540852;25/05/2022;1:23:00;RFELIZ;1;ERRO DE LANÇAMENTO;
601;58034277;DIFERENÇA DE DIARIA;-174,2;0,00;-174,20;UH: 202;26/05/2022;0:48:00;RFREITAS;1;ERRO DO SISTEMA;
309;57804389;A FATURAR;0;630,00;630,00;;26/05/2022;15:25:54;LPADOVINO;1;Erro de Laçto;
601;58034277;ISS;-8,71;0,00;-8,71;;26/05/2022;0:48:00;RFREITAS;1;ERRO DO SISTEMA;
1005;58156860;FRIGOBAR;-8;0,00;-8,00;Venda: 75938036;26/05/2022;7:56:17;ECSOUSA;1;HOSPEDE NÃO CONSUMIU;
1005;58024328;ISS;-2,5;0,00;-2,50;;26/05/2022;17:22:51;CFIOR;1;ERRO DE LANÇAMENTO;
109;57814376;DIARIA;-0,02;0,00;-0,02;UH: 109 Reserva: 578;26/05/2022;4:10:07;RFELIZ;1;CORTESIA DE DIÁRIAS;
109;57814376;ISS;0;0,00;0,00;;26/05/2022;4:10:07;RFELIZ;1;CORTESIA DE DIÁRIAS;
905;57777748;STONE - MASTERCARD C;0;10,00;10,00;038444;26/05/2022;1:05:51;RFREITAS;1;ERRO DE LANÇAMENTO;
608;58157484;STONE - MASTERCARD C;0;12,00;12,00;202173;26/05/2022;1:08:12;RFREITAS;1;ERRO DE LANÇAMENTO;
1005;58024328;STONE - MASTERCARD C;0;52,50;52,50;062774;26/05/2022;17:22:51;CFIOR;1;ERRO DE LANÇAMENTO;
